Tiempo,"ID de Usuario",Nombre,Apellido,"Numero de tarjeta",Dispositivo,"Punto del evento",Verificacion,Estado,Evento,Notas
"28/07/2026 07:46",6888223,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 07:57",3499691,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 08:04",4857842,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:09",9253243,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:11",6724255,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:15",70,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:17",9902384,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 08:17",6872307,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:17",3346267,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:20",2603302,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 08:22",9996456,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:22",2681390,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:24",6856630,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:26",4832904,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:27",6862760,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:28",4478400,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:29",6944783,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:30",8426729,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:30",10909669,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:31",3451406,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 08:31",9110001,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:31",6841118,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:32",46,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:33",3477079,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:33",2444368,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:34",6122699,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:35",4850032,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:36",9066508,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 08:36",4877453,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:36",9077141,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:37",9883740,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:37",9903588,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:39",6723375,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:40",9980093,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:42",4912081,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:43",3441601,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:44",6727073,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:44",8328926,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:44",10955225,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:44",9493414,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:46",6857273,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:46",6878923,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:48",9865115,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:48",4329942,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:50",9165320,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 08:52",9222736,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 12:59",9883740,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 13:01",9883740,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 16:36",8413445,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 16:42",6841118,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 16:55",4877453,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 16:57",6122699,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:03",4912081,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:15",9980093,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:23",2681390,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:26",9493414,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:26",6167598,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:31",6862760,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:35",3451406,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 17:35",3477079,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 17:37",6944783,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:40",3346267,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:41",10909669,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:42",6727073,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:43",3441601,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:47",9878461,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:47",9253243,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:49",6878923,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:50",46,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:52",6872307,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:59",6723375,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 17:59",4329942,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:02",6856630,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:05",9996456,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:05",9077141,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:05",9902384,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:08",4832904,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:18",9165320,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:19",4857842,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:19",8328926,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 18:32",2603302,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 18:39",4478400,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:43",6857273,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:46",6857273,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:52",9110001,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 18:53",4850032,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 19:01",9222736,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 19:01",9066508,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 19:03",8426729,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 19:03",10955225,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 19:04",9865115,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 19:26",3499691,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"28/07/2026 19:45",9903588,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 19:58",6724255,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 21:39",70,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"28/07/2026 23:16",6888223,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 07:27",4832904,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 07:35",3499691,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 07:40",4811056,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:02",9253243,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:06",4857842,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:06",9077141,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:14",6888223,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:14",9878461,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:18",6724255,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:22",70,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:23",9110001,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:23",6122699,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:23",8413445,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:24",2603302,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:25",6944783,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:25",6862760,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:26",3346267,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:26",6856630,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:26",6878923,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:27",3451406,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:28",4478400,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:28",9980093,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:29",10909669,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:30",8426729,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:31",6167598,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:32",9865115,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:32",2681390,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:33",46,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:34",4912081,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:34",9222736,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:34",8328926,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:35",6841118,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:35",9493414,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:35",2444368,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:35",63,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:35",9883740,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:36",6727073,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:38",6857273,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:38",4850032,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:39",3441601,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:39",6723375,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:40",9902384,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:40",9996456,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:40",10955225,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:40",9165320,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:42",9903588,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:42",6872307,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:46",9066508,,,,"La Paz","Oficina Central La Paz","No disponible","Estado 15","Apertura remota",
"29/07/2026 08:46",3477079,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
"29/07/2026 08:50",4329942,,,,"La Paz","Oficina Central La Paz","No disponible",Salida,"Apertura remota",
